time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-04-04T13:55:34.680Z,56.3457,-149.0683,21.01,3.7,ml,,209,2.4,0.8,us,us2000ka7z,2019-04-04T15:11:23.040Z,"258km SE of Kodiak, Alaska",earthquake,9,10.6,,,reviewed,us,ak
2019-04-04T12:19:19.239Z,56.4217,-149.0942,0.2,3.7,ml,,,,0.93,ak,ak0194bnrxtl,2019-04-04T12:26:58.506Z,"251km SE of Kodiak, Alaska",earthquake,,8,,,automatic,ak,ak
2019-04-04T12:00:09.120Z,-30.2333,-71.3733,58.61,4.8,mb,,105,0.493,1.06,us,us2000ka6l,2019-04-04T13:21:03.093Z,"31km S of Coquimbo, Chile",earthquake,5.7,3.3,0.063,77,reviewed,us,us
2019-04-04T11:58:55.518Z,59.8812,-140.4823,7.1,2.6,ml,,,,0.78,ak,ak0194bnexx6,2019-04-04T12:10:34.349Z,"56km NW of Yakutat, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-04-04T10:34:21.420Z,42.6661667,-111.4853333,3.85,3.34,ml,20,105,0.08747,0.16,uu,uu60319437,2019-04-04T15:12:19.055Z,"9km E of Soda Springs, Idaho",earthquake,0.54,1.62,0.131,14,reviewed,uu,uu
2019-04-04T10:04:13.552Z,66.2187,-157.3508,0,2.6,ml,,,,0.67,ak,ak0194bmhueq,2019-04-04T10:16:35.823Z,"79km SSW of Kobuk, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-04-04T09:59:20.440Z,20.3059,120.7916,10,4.6,mb,,118,2.513,1.39,us,us2000ka4n,2019-04-04T13:18:36.040Z,"112km W of Sabtang, Philippines",earthquake,8.7,1.9,0.083,43,reviewed,us,us
2019-04-04T09:45:54.290Z,42.6636667,-111.4875,4.56,3.25,ml,16,103,0.08565,0.13,uu,uu60319427,2019-04-04T15:13:47.170Z,"9km E of Soda Springs, Idaho",earthquake,0.44,1.17,0.145,17,reviewed,uu,uu
2019-04-04T08:29:52.060Z,19.043,-67.3763,30,2.98,md,5,333,0.9339,0.25,pr,pr2019094008,2019-04-04T12:42:04.446Z,"67km NNW of San Antonio, Puerto Rico",earthquake,2.28,18.08,0.11,5,reviewed,pr,pr
2019-04-04T08:23:12.030Z,18.8105,-67.5008,6,2.9,md,7,305,0.4266,0.33,pr,pr2019094011,2019-04-04T12:43:27.846Z,"55km NW of Caban, Puerto Rico",earthquake,2.63,2.55,0.06,5,reviewed,pr,pr
